source_ip,destination_ip,packets_per_second,packet_size,latency_ms,cpu_usage,memory_usage,anomaly
50.112.145.170,202.85.194.113,1937.5565573249662,5608.735589124417,132.5911477286255,90.29190503935567,92.39857745849297,1
130.173.159.42,235.11.66.29,480.6149220032008,667.5016023928652,46.92191528861116,26.357691891598286,31.576662113868068,0
87.61.241.103,158.160.253.215,478.96773386173203,420.7489243612622,40.9794844564249,34.27777829510356,36.10581478589783,0
95.170.170.205,128.171.14.36,497.22261505516906,1146.9755572099634,33.93422899261321,31.463577410709267,42.50071516556942,0
227.80.239.2,128.171.14.36,516.5631715701782,1108.7200309188866,52.62561329001925,23.989252369619557,44.80993594535921,0
72.76.39.181,154.229.175.26,1309.7006470501744,5223.28091325537,162.70289367621993,85.66126537020811,102.5228366195664,1
244.233.118.34,158.160.253.215,604.619363784273,1097.3003287652405,66.74492433347538,31.289879906105906,34.616604362644935,0
130.173.159.42,154.229.175.26,477.69082833926103,996.2582487108206,59.113627221747215,31.778344742816145,32.63981463486604,0
11.2.209.119,128.171.14.36,443.76789540810654,1111.246001880132,65.37931918412554,27.984620054674846,39.69462164323812,0
210.160.148.116,158.160.253.215,471.46268531252616,865.875958184671,44.86803635486604,29.24350389883739,51.71827026406312,0
0.141.135.193,202.85.194.113,474.13557749498136,973.7486065815391,47.21116605849244,28.000504689344314,39.208472609951684,0
229.134.224.133,154.229.175.26,426.07390048162864,965.4745400118361,41.775800676177994,33.57304895318309,44.662174354773335,0
226.150.11.115,128.171.14.36,411.8479922318633,1276.0182708294903,51.551906838589794,35.98623461822614,41.96653525002662,0
102.189.137.179,128.171.14.36,473.45015224990914,1085.438872374337,44.608772968510216,22.83424092737644,42.39680476714711,0
72.76.39.181,128.171.14.36,460.37396307836497,924.1744518025026,51.05894453115234,30.06249660953625,30.790511135210714,0
193.226.72.114,235.11.66.29,455.5242785187238,1151.785717957353,59.87334516589102,25.271269696516093,32.285983908785504,0
120.177.44.73,158.160.253.215,528.529933429658,808.112152655304,46.86470313827602,38.145831824504725,50.37532519674271,0
210.160.148.116,235.11.66.29,464.84117874370565,831.3506809367616,58.20344012612456,30.088066259668288,41.24774094799039,0
114.166.178.8,154.229.175.26,549.2161199238292,993.3540018711078,72.18780233448135,25.159771207448774,46.75426165349503,0
227.80.239.2,154.229.175.26,548.5785475477178,832.1580665321987,49.56523050186138,32.09102877943986,44.729348218420725,0
229.134.224.133,154.229.175.26,458.0139078909612,1135.5851742678537,40.36241073789389,40.825280339033014,40.7856395949547,0
244.233.118.34,154.229.175.26,574.8022155744592,949.5292995747425,62.748750412787224,27.923931160473643,35.80553662987132,0
200.45.54.173,128.171.14.36,444.47120772670854,1243.4317041650993,53.496500472996935,30.36598495500847,43.4638451592443,0
72.76.39.181,154.229.175.26,476.44808471908385,1189.9108270882648,28.466570801287556,25.176472871246425,36.730508058372116,0
25.213.196.162,202.85.194.113,496.2777042116916,1382.8062707733573,56.03187431082343,20.65091830233918,41.15921046067424,0
81.44.126.85,202.85.194.113,469.98915614206027,1078.6635678788743,38.51205964841344,30.671482486238965,35.167060545073426,0
72.76.39.181,154.229.175.26,587.6135221711811,1304.2632103844903,34.35197228637945,29.2487850560087,45.529165331473564,0
118.125.177.23,158.160.253.215,500.9209189594776,1158.8529359243655,50.382379949600285,28.51258899563075,37.0179429601556,0
119.71.218.137,158.160.253.215,516.1359280169045,704.2176862451743,32.2376476710168,32.29084057394349,42.957210758759274,0
244.233.118.34,154.229.175.26,477.7853369961944,1004.1587415350816,62.000789564268615,31.680724815131143,42.10890037125436,0
81.180.146.196,128.171.14.36,455.07926643258213,1091.9944285878232,31.538121377619063,22.115017589045014,42.57441798038186,0
226.150.11.115,235.11.66.29,558.4647795222836,978.0780392148338,52.15396505456288,20.459989314383463,39.37989306305001,0
229.134.224.133,128.171.14.36,445.9468336200051,1174.2594594914488,49.606927123723686,36.09097355877128,44.75653122149742,0
120.177.44.73,235.11.66.29,517.3790852680836,1161.611559656229,63.414759155308815,35.348857274919254,37.5576195994482,0
95.214.193.134,235.11.66.29,494.5619925771571,1023.9160736828306,34.77640813782109,21.03053751066055,41.3830038275559,0
84.41.0.223,154.229.175.26,486.5062532353314,1123.8308522010395,43.932997052347034,25.133105809864826,38.61227871842224,0
130.173.159.42,202.85.194.113,534.302572999922,779.3583268556633,49.37808983000689,36.92266023796953,35.778379814084644,0
72.76.39.181,158.160.253.215,518.0697802754207,990.6158842241632,59.653974845911705,23.653347517266504,42.86003139150237,0
226.150.11.115,154.229.175.26,529.7578512718457,1105.9385508713463,57.78936503512114,25.47965855132,39.46367617094529,0
87.61.241.103,235.11.66.29,486.5555654722585,1038.8768603154672,55.107920885275945,32.223869039157975,40.22781940570949,0
72.76.39.181,158.160.253.215,1897.5616680676414,4181.394973339921,198.9377610361879,75.63746135071882,84.00178606082939,1
74.187.96.227,154.229.175.26,508.72889064159193,789.3168873652687,56.38391925608383,32.86195155587838,46.78291692913991,0
72.76.39.181,202.85.194.113,1463.1556705411238,4241.029301096655,188.6446996109537,82.2654415596657,106.71347575437477,1
20.17.187.145,154.229.175.26,449.87353176810956,481.791541571018,52.61250531233856,29.17184294841184,43.5793637234548,0
25.213.196.162,128.171.14.36,487.9381971071835,645.3935063586237,62.059945165468164,32.57647160812234,41.20102921973111,0
35.217.222.95,158.160.253.215,512.2483285554362,1087.38763394927,54.920188479927994,24.86815396167054,49.74171322394906,0
20.17.187.145,154.229.175.26,499.04918960486555,884.6979198546561,62.11943985386401,27.030942959656475,42.02106432638666,0
87.61.241.103,158.160.253.215,428.76259068932717,1428.4540717223726,36.91179600880888,35.769503671278734,43.91794832399303,0
25.213.196.162,158.160.253.215,484.9448152205356,992.2983060998586,51.52354872033722,31.121082021453965,41.49823843918674,0
210.160.148.116,202.85.194.113,543.2877597085061,797.0486538614266,34.357583882889486,35.2936426494194,43.493444067585216,0
229.134.224.133,202.85.194.113,549.1345491972756,786.4394156841614,53.423378344896214,29.203188839270467,40.17004048114073,0
50.78.187.161,158.160.253.215,2025.1138495828402,4502.038153182158,325.04502489671404,87.18874515111914,94.41746736377557,1
210.160.148.116,128.171.14.36,500.62962003908973,813.3464081853608,32.92642042407053,30.888750531340158,40.16203506670068,0
35.217.222.95,158.160.253.215,458.9658840824145,670.9202506086217,61.40149038521267,26.526998154184277,30.81820108114801,0
200.45.54.173,235.11.66.29,2259.679372818944,4739.690958728563,124.05151095933427,85.7424439534841,81.0648490748072,1
120.177.44.73,158.160.253.215,503.79022790968634,957.3114258139584,34.821262533191906,37.94919489090342,43.773666490339046,0
210.160.148.116,128.171.14.36,488.9517913085168,871.7036809554096,38.69796275326076,39.617228974124764,40.96298459365653,0
72.76.39.181,202.85.194.113,1792.6865497140684,3903.779675131435,182.7968021647887,96.975869703392,96.85857818608419,1
72.76.39.181,128.171.14.36,1773.292945808073,4489.839186349783,180.1338373724319,88.96413146594219,87.61766324944382,1
84.41.0.223,158.160.253.215,509.1671002869176,1207.9809374792153,36.73952313917962,25.177311025449043,50.2103482646394,0
211.53.174.99,202.85.194.113,489.8903673783053,1094.9396465759905,58.87655425873836,29.998431636941127,37.67709460942191,0
233.208.134.16,128.171.14.36,464.28242909868163,1201.963417868527,43.83638591960523,21.843620922695273,38.91434462526899,0
244.233.118.34,158.160.253.215,528.5445255346583,751.227352921743,37.495922660302824,35.91746833444964,38.718296608137535,0
229.134.224.133,128.171.14.36,545.7701058851037,1206.0566908063684,44.91859802352689,29.71705755550052,44.29792436171778,0
72.76.39.181,128.171.14.36,487.73059419985645,1118.950868333057,47.659801408930186,29.51688164992555,44.93188252952969,0
